source,author,work,workLabel,edition,placeOfProduction,yearOfPublication,langCode
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb302130239#Expression,El Quijote para todos abreviado por un entusiasta de su autor Miguel de Cervántes Saavedra,,Madrid,1856,http://id.loc.gov/vocabulary/iso639-2/spa
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb34834144s#Expression,Histoire de Don Quichotte de la Manche : traduite de l'espagnol,,Paris,1850,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb365763808#Expression,Illustrations of Don Quixote in a series of fifteen plates... by George Cruikshank,,London,1834,http://id.loc.gov/vocabulary/iso639-2/eng
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb302130924#Expression,Don Quichotte,,Paris,1868,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213171f#Expression,Don Quichotte,,Paris,1884,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb30213150g#Expression,"Le Don Quichotte des enfants, aventures les plus curieuses de Don Quichotte et de Sancho, précédées d'une introduction historique sur l'origine de la chevalerie et des romans de chevalerie... (Signé : Élisabeth Muller [Léonie Bédelet].)",,Paris,1852,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb32945617m#Expression,L'Ingénieux hidalgo Don Quichotte de la Manche,,Verviers,1962,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb32945647j#Expression,Miguel de Cervantes. Don Quichotte de la Manche,,Paris,1968,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb41044740k#Expression,Don Quijote de la Mancha : extractos,,Paris,2007,http://id.loc.gov/vocabulary/iso639-2/fre
BNF,http://www.wikidata.org/entity/Q5682,http://data.bnf.fr/ark:/12148/cb41044740k#Expression,Don Quijote de la Mancha : extractos,,Paris,2007,http://id.loc.gov/vocabulary/iso639-2/spa
