source,author,authorLabel,work,workLabel,edition,placeOfProduction,yearOfPublication,langCode
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5605276,Barcelona,2014,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5100467,Madrid,imp. 2011,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5677280,Madrid,1904,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0002223050,[Melilla,2005],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5391416,[S.l.],[1890?],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5784861,"[Burjassot, Valencia]",imp. 2015,http://id.loc.gov/vocabulary/languages/cat
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7169325,[Santander],"abril, 2011",http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a6969709,Sevilla,2020,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a6969709,Sevilla,©2020,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/Mimo0001838620,Madrid,[2002],http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7169320,[Santander],"abril, 2011",http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a5679149,[Barcelona],2015,http://id.loc.gov/vocabulary/languages/spa
BNE,http://www.wikidata.org/entity/Q5682,Miguel de Cervantes,https://datos.bne.es/resource/XX3383563,Don Quijote de la Mancha,https://datos.bne.es/resource/a7169325,Fresno del Río [Cantabria],"abril, 2011",http://id.loc.gov/vocabulary/languages/spa
